         72420 function calls (71299 primitive calls) in 0.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:367(broadcast_to)
       88    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:1341(__add__)
       41    0.001    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:340(_broadcast_to)
      931    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      737    0.001    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:358(iterable)
     3062    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      537    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      346    0.001    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/cbook.py:2315(_is_torch_array)
       41    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/markers.py:220(__init__)
       91    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:750(__init__)
       88    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:2499(composite_transform_factory)
       44    0.001    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/artist.py:179(__init__)
      429    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:156(invalidate)
      396    0.001    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/getlimits.py:494(__new__)
      132    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axis.py:1158(get_inverted)
      273    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1904(ravel)
